k,name,regulator_readable,function,category,n_genes,exp_var,precision,recall,category_num
0,Sugar Diacid,CdaR,Transport and catabolism of carbohydrate diacids (galacatarate and glucarate),Carbon Metabolism,14,0.002412749,0.642857143,1,0
1,Translation,DksA,Ribosome biogenesis,Translation,53,0.007469245,0.830188679,0.392857143,1
2,ygdT,,Unknown,Unknown,3,0.000344429,,,2
3,OxyR,OxyR,"Oxidative stress response, especially peroxide",Redox Stress,38,0.00174739,0.421052632,0.551724138,3
4,FlhDC-2,FlhDC,Flagellum biosynthesis and export,Extracellular Structures,43,0.03002112,0.860465116,0.456790123,4
5,Osmoprotectant,RpoS and ppGpp and IHF and H-NS,Transport of osmoprotectant glycine betaine,Envelope Stress,4,0.004189025,0.75,0.375,5
6,Glutamine,NtrC,Glutamine transport and synthesis,Nitrogen Metabolism,9,0.005121961,0.555555556,0.294117647,6
7,Sialic Acid,Crp and NanR,N-acetyl-neuraminic acid (or sialic acid) transport and metabolism,Carbon Metabolism,13,0.001740666,0.615384615,1,7
8,yqhI,,Unknown,Unknown,2,0.001515549,,,8
9,ROS TALE Amp,,Amplification of DLP12/IS3,Unknown,9,0.004049669,,,9
10,Nucleotide Stress,,DNA repair; stringent response signaling via ppGpp; ribosomal biogenesis and stability,DNA Damage,15,0.005925631,,,10
11,Histidine,His-tRNA and DksA,Histidine biosynthesis,Amino Acid Metabolism,9,0.002411223,0.888888889,1,11
12,UC-4,,Unknown,Unknown,39,0.003195531,,,12
13,RpoH,RpoH,Global heat shock response during log-phase; response to high temperature and/or misfolded proteins,Temperature Shock,41,0.003986513,0.829268293,0.242857143,13
14,FucR/AllR/AraC,FucR or AllR or AraC,Allantoin/glycolate/glyoxylate/arabinose/fucose transport and catabolism,Nitrogen Metabolism,20,0.001173425,1,0.666666667,14
15,ldrC,,Unknown,Unknown,1,0.001387528,,,15
16,Ferric Citrate,PdhR and HypT and Nac and Crp and Fur and FecI,Ferric citrate transporter; iron uptake under intracellular limitation,Metal Homeostasis,7,0.000960692,0.714285714,1,16
17,Zinc-1,Zur or ZntR or CueR,Zinc sensing and uptake; copper sensing and export,Metal Homeostasis,14,0.009916591,0.642857143,0.642857143,17
18,Methionine,MetJ,Methionine transport and biosynthesis,Amino Acid Metabolism,21,0.006689772,0.523809524,0.733333333,18
19,Sorbitol,SrlR and GutM and Crp and H-NS,Sorbitol transport and catabolism,Carbon Metabolism,6,0.002664523,1,0.857142857,19
